{ Configuration Parameters }										
16	0.00644621	6	0.00916378	6	1.96054	0.215015	0.230086	0.0119642	0.00956395	0.983571
17	0.00666453	5	0.0082699	7	1.9664	0.212864	0.251768	0.0143079	0.0106727	1.12609
18	0.00637444	5	0.0092699	7	1.95894	0.210736	0.214772	0.0106782	0.00696593	0.832317
19	0.0062251	6	0.00885059	6	1.95668	0.208628	0.227429	0.0187567	0.0150994	1.41239
20	0.0066251	6	0.00785059	6	1.96332	0.206542	0.268	0.00657349	0.00473625	0.66384
21	0.00682378	6	0.00801717	6	1.95864	0.204477	0.264156	0.00854845	0.00609824	0.77679
22	0.0067708	5	0.00777535	7	1.95417	0.202432	0.267325	0.0204952	0.0152276	1.51762
23	0.00650787	6	0.00877535	6	1.94544	0.200408	0.240279	0.00821524	0.00688736	0.76887
24	0.00656365	6	0.00811066	6	1.95036	0.198404	0.259476	0.006125	0.00446468	0.630115
25	0.00646978	6	0.00789934	6	1.947	0.19642	0.266265	0.00671438	0.00432745	0.652729
26	0.00661113	6	0.00802452	6	1.94103	0.194455	0.262443	0.00605726	0.0041685	0.620345
27	0.0069446	6	0.00806433	6	1.93665	0.192511	0.271643	0.00673265	0.00510551	0.685979
28	0.00654833	6	0.00856755	7	1.92751	0.190586	0.281455	0.00613867	0.00452671	0.654743
29	0.00644339	6	0.00889344	7	1.92085	0.18868	0.26133	0.0055369	0.00344111	0.57556
30	0.00630906	6	0.00935173	8	1.87085	0.186793	0.279825	0.00352475	0.00203526	0.474426
31	0.00658206	6	0.0103517	9	1.86553	0.184925	0.293207	0.00634192	0.00505768	0.692193
32	0.0067259	6	0.0102249	9	1.87096	0.183076	0.297789	0.00555423	0.00297331	0.596253
33	0.0067056	6	0.0103438	9	1.86281	0.181245	0.295109	0.0041685	0.00268271	0.534902
34	0.00671331	6	0.00982196	8	1.82019	0.179433	0.277414	0.00275604	0.000978731	0.408131
35	0.00692275	6	0.00961746	7	1.82016	0.177638	0.261552	0.00557133	0.00352156	0.579803
36	0.00667514	5	0.00901265	8	1.82747	0.175862	0.259185	0.0137371	0.00900185	1.05505
37	0.00644477	5	0.00999256	8	1.82502	0.174103	0.224121	0.00907456	0.0055695	0.736663
38	0.00660887	6	0.0098089	7	1.85942	0.172362	0.247251	0.0146909	0.0108916	1.14264
39	0.00689523	6	0.00899896	7	1.86741	0.170639	0.279558	0.00472343	0.00320067	0.556901
40	0.00692504	6	0.00915569	7	1.85833	0.168932	0.275166	0.00370051	0.00254074	0.493609
41	0.00661145	6	0.00929687	8	1.85293	0.167243	0.29432	0.00555969	0.00389665	0.625292
42	0.0066321	6	0.00905947	8	1.85581	0.165571	0.300975	0.00584997	0.00395474	0.64414
43	0.00633433	5	0.00925332	7	1.8534	0.163915	0.21484	0.0104977	0.00702488	0.828129
44	0.00619456	5	0.00902458	6	1.81574	0.162276	0.19042	0.00946874	0.00559341	0.717595
45	0.0063272	5	0.00859156	7	1.81678	0.160653	0.230832	0.0155587	0.012333	1.20704
46	0.00625791	5	0.00945798	8	1.78002	0.159046	0.23584	0.00798924	0.004901	0.686999
47	0.00613855	5	0.00990267	7	1.77958	0.157456	0.198582	0.00915338	0.00568144	0.717801
48	0.00628959	6	0.0100711	8	1.77895	0.155881	0.260321	0.00801715	0.00475194	0.707239
49	0.00668225	6	0.00907113	7	1.8073	0.154323	0.268093	0.00249567	0.00121533	0.397979
